fsa,name_/_area,nearest_airport_city,co2e_cdg_kg,co2e_lhr_kg,co2e_nrt_kg,co2e_set1_kg,co2e_set2_kg,cad1_cdg,cad1_lhr,cad1_nrt,cad1_set1,cad1_set2,cad2_cdg,cad2_lhr,cad2_nrt,cad2_set1,cad2_set2,cad3_cdg,cad3_lhr,cad3_nrt,cad3_set1,cad3_set2
T4M,Blackfalds,Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T4N,Red Deer Central,Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T4P,Red Deer North,Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T4R,Red Deer South,Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T4S,Sylvan Lake,Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T4T,Rocky Mountain House,Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T4V,Camrose,Calgary,1471.4,1377.6,1594.5,567.3,660.9,43.0,41.0,47.0,17.0,19.0,390.0,370.0,420.0,150.0,180.0,1600.0,1500.0,1700.0,600.0,700.0
T4X,Beaumont,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5A,Edmonton (West Clareview / East Londonderry),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5B,Edmonton (East North Central / West Beverly),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5C,Edmonton (Central Londonderry),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5E,Edmonton (West Londonderry / East Calder),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5G,Edmonton (North Central / Queen Mary Park / YXD),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5H,Edmonton (North and East Downtown Fringe),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5J,Edmonton (North Downtown),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5K,Edmonton (South Downtown / South Downtown Fringe),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5L,Edmonton (North Westmount / West Calder / East Mistatim),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T5M,Edmonton (South Westmount / Groat Estate / East Northwest Industrial),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
