fsa,name_/_area,rovince_/_territory,lat,lon,nearest_major_airport,airport_iata,airport_sl_km,"dist_set_a_km
(yvr+sfo)","dist_set_b_km
(yyz+jfk)",further_set,d1_name,d1_sl_km,d1_driving_km,d1_driving_hrs,d2_name,d2_sl_km,d2_driving_km,d2_driving_hrs,co2e_cdg_kg,co2e_lhr_kg,co2e_nrt_kg,"set_airport_1
(iata)",co2e_set1_kg,co2e_set2_kg
L6K,Oakville East,Ontario,43.4396,-79.6878,Toronto Pearson Intl,YYZ,27.0,3488.9,302.8,A,Niagara Falls ON,62.4,91.51,1.1273,Ottawa ON,385.9,488.66,5.9332,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6L,Oakville South,Ontario,43.4032,-79.7186,Toronto Pearson Intl,YYZ,31.4,3487.6,305.1,A,Niagara Falls ON,62.1,87.35,1.0825,Ottawa ON,390.3,494.8,6.0193,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6M,Oakville West,Ontario,43.4464,-79.7593,Toronto Pearson Intl,YYZ,27.9,3483.2,305.9,A,Niagara Falls ON,67.5,90.27,1.1222,Sault Ste. Marie ON,497.2,815.03,9.1075,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6P,Brampton North,Ontario,43.7942,-79.7021,Toronto Pearson Intl,YYZ,14.4,3477.6,307.4,A,Niagara Falls ON,92.9,135.46,1.7255,Mont-Tremblant QC,477.6,623.35,7.8917,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6R,Brampton Northwest,Ontario,43.7592,-79.7605,Toronto Pearson Intl,YYZ,14.2,3474.2,308.2,A,Niagara Falls ON,92.3,131.65,1.6468,Mont-Tremblant QC,483.6,633.87,7.9875,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6S,Brampton North Central,Ontario,43.7379,-79.726,Toronto Pearson Intl,YYZ,10.5,3477.4,304.6,A,Niagara Falls ON,88.8,128.14,1.5951,Mont-Tremblant QC,482.7,626.15,7.9013,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6T,Brampton East,Ontario,43.7196,-79.6854,Toronto Pearson Intl,YYZ,6.7,3481.0,300.8,A,Niagara Falls ON,85.2,125.38,1.5777,Mont-Tremblant QC,481.2,620.01,7.8355,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6V,Brampton Central,Ontario,43.7059,-79.7626,Toronto Pearson Intl,YYZ,11.5,3475.5,305.4,A,Niagara Falls ON,87.7,126.65,1.5579,Mont-Tremblant QC,487.2,628.87,7.8986,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6W,Brampton Southeast,Ontario,43.68,-79.7273,Toronto Pearson Intl,YYZ,8.2,3479.0,301.8,A,Niagara Falls ON,83.7,121.2,1.5126,Mont-Tremblant QC,486.5,623.42,7.8533,1204.7,1260.4,1892.0,YVR,703.9,740.7
L6X,Brampton Southwest,Ontario,43.6665,-79.8054,Toronto Pearson Intl,YYZ,14.6,3473.4,307.2,A,Niagara Falls ON,86.6,118.87,1.5202,Mont-Tremblant QC,492.5,632.33,7.9946,1204.7,1260.4,1892.0,YVR,703.9,740.7
