fsa,further_set,d1_name,d2_name,flight_dest_1,flight_dest_2,flight_dest_3,flight_dest_4,flight_dest_5
E3E,A,Quebec City QC (Old City),Cape Breton (Cabot Trail) NS,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E3G,A,Quebec City QC (Old City),Cape Breton (Cabot Trail) NS,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E3L,A,Quebec City QC (Old City),Montreal QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E3N,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E3V,A,Quebec City QC (Old City),Mont-Tremblant QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E3Y,A,Quebec City QC (Old City),Montreal QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E3Z,A,Quebec City QC (Old City),Montreal QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4A,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4B,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4C,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4E,A,Quebec City QC (Old City),Sherbrooke QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4G,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4H,A,Halifax NS,Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4J,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4K,A,Halifax NS,Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4L,A,Halifax NS,Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4M,A,Halifax NS,La Malbaie / Charlevoix QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4N,A,Halifax NS,La Malbaie / Charlevoix QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4P,A,Halifax NS,Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4R,A,Halifax NS,Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4S,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4T,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4V,A,Quebec City QC (Old City),Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
E4W,A,Quebec City QC (Old City),La Malbaie / Charlevoix QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
