Canada FSA Climate Footprint Database,,,,,,,,,,,,,,,,,,,,,,,,
"1,650 Forward Sortation Areas | Set A = YVR + SFO (Pacific) | Set B = YYZ + JFK (Atlantic)",,,,,,,,,,,,,,,,,,,,,,,,
FSA,Name / Area,Province / Territory,Lat,Lon,Nearest Major Airport,Airport IATA,Airport SL km,"Dist Set A km
(YVR+SFO)","Dist Set B km
(YYZ+JFK)",Further Set,D1 Name,D1 SL km,D1 Driving km,D1 Driving hrs,D2 Name,D2 SL km,D2 Driving km,D2 Driving hrs,CO2e CDG kg,CO2e LHR kg,CO2e NRT kg,"Set Airport 1
(IATA)",CO2e Set1 kg,CO2e Set2 kg
B1L,Sydney Southwest,Nova Scotia,46.0627,-60.2045,Iles-de-la-Madeleine Airport,YGR,193.2,"4,848.0","1,399.5",A,Halifax NS,306.7,403.37,5.4201,Fredericton NB,497.2,646.92,8.1402,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1M,Sydney East,Nova Scotia,46.1270,-60.0696,Iles-de-la-Madeleine Airport,YGR,194.3,"4,855.2","1,411.1",A,Halifax NS,319.3,425.16,6.1387,Saint John NB,474.9,645.2,8.5704,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1N,Sydney North,Nova Scotia,46.1975,-60.1559,Iles-de-la-Madeleine Airport,YGR,184.0,"4,846.3","1,406.5",A,Halifax NS,317.6,413.37,5.8174,Saint John NB,469.7,633.4,8.2491,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1P,Sydney North Central,Nova Scotia,46.1341,-60.1749,Iles-de-la-Madeleine Airport,YGR,188.4,"4,847.4","1,403.5",A,Halifax NS,312.7,403.09,5.429,Fredericton NB,499.4,646.64,8.1492,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1R,Sydney West,Nova Scotia,46.1284,-60.2915,Iles-de-la-Madeleine Airport,YGR,183.3,"4,839.3","1,394.8",A,Halifax NS,304.6,419.44,5.33,Fredericton NB,490.4,662.99,8.0502,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1S,Sydney Central,Nova Scotia,46.1109,-60.2092,Iles-de-la-Madeleine Airport,YGR,188.7,"4,845.8","1,400.4",A,Halifax NS,309.1,398.57,5.3624,Fredericton NB,496.8,642.12,8.0826,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1T,Christmas Island,Nova Scotia,45.9668,-60.7152,Halifax Stanfield Intl,YHZ,249.2,"4,815.0","1,359.3",A,Halifax NS,267.4,356.88,4.6828,Gros Morne NL,459.7,566.88,12.171,913.9,810.8,"2,657.0",YVR,774.9,917.6
B1V,North Sydney North,Nova Scotia,46.2437,-60.2313,Iles-de-la-Madeleine Airport,YGR,176.3,"4,839.2","1,402.2",A,Halifax NS,315.4,406.8,5.1392,Fredericton NB,495.2,650.34,7.8594,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1W,Eskasoni,Nova Scotia,45.9328,-60.6438,Iles-de-la-Madeleine Airport,YGR,187.1,"4,821.5","1,363.7",A,Halifax NS,270.1,368.58,4.7993,Fredericton NB,463.7,612.13,7.5195,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1X,Big Bras d'Or,Nova Scotia,46.2904,-60.4700,Iles-de-la-Madeleine Airport,YGR,160.6,"4,820.3","1,386.1",A,Halifax NS,303.2,384.21,4.8943,Fredericton NB,477.0,627.76,7.6145,853.5,969.2,"2,341.8",YVR,861.0,859.3
B1Y,Alder Point,Nova Scotia,46.2538,-60.3566,Iles-de-la-Madeleine Airport,YGR,169.2,"4,829.8","1,393.3",A,Halifax NS,308.0,400.71,5.2044,Fredericton NB,485.6,644.26,7.9246,853.5,969.2,"2,341.8",YVR,861.0,859.3
B2A,North Sydney South Central,Nova Scotia,46.1169,-60.3769,Iles-de-la-Madeleine Airport,YGR,180.4,"4,833.6","1,388.2",A,Halifax NS,298.4,424.07,5.4742,Fredericton NB,483.8,667.62,8.1944,853.5,969.2,"2,341.8",YVR,861.0,859.3
B2C,Iona,Nova Scotia,45.9948,-60.8421,Halifax Stanfield Intl,YHZ,242.1,"4,804.9","1,350.7",A,Halifax NS,260.9,340.27,4.5375,Campbellton / Restigouche NB,495.0,708.8,9.0947,913.9,810.8,"2,657.0",YVR,774.9,917.6
B2E,Loch Lomond,Nova Scotia,45.7501,-60.6152,Halifax Stanfield Intl,YHZ,246.0,"4,830.6","1,361.3",A,Halifax NS,262.2,352.09,4.7186,Gros Morne NL,477.8,591.59,13.0656,913.9,810.8,"2,657.0",YVR,774.9,917.6
B2G,Antigonish,Nova Scotia,45.6168,-61.9986,Halifax Stanfield Intl,YHZ,143.8,"4,735.8","1,255.4",A,Halifax NS,163.9,212.2,2.5737,Corner Brook NL,480.2,595.32,12.3882,913.9,810.8,"2,657.0",YVR,774.9,917.6
B2H,New Glasgow,Nova Scotia,45.5834,-62.6486,Halifax Stanfield Intl,YHZ,103.1,"4,690.0","1,206.7",A,Halifax NS,126.8,159.23,1.9791,Edmundston NB,477.5,668.07,7.6882,913.9,810.8,"2,657.0",YVR,774.9,917.6
B2J,Fourchu,Nova Scotia,45.7070,-60.4665,Iles-de-la-Madeleine Airport,YGR,215.7,"4,842.9","1,371.4",A,Halifax NS,270.6,361.75,4.9994,Fredericton NB,479.2,605.3,7.7196,853.5,969.2,"2,341.8",YVR,861.0,859.3
B2N,Truro,Nova Scotia,45.3668,-63.2654,Halifax Stanfield Intl,YHZ,57.3,"4,653.2","1,155.2",A,Halifax NS,83.5,96.37,1.2676,Edmundston NB,447.1,613.74,7.1205,913.9,810.8,"2,657.0",YVR,774.9,917.6
B2R,Waverley,Nova Scotia,44.7599,-63.5525,Halifax Stanfield Intl,YHZ,13.9,"4,655.0","1,118.1",A,Halifax NS,12.5,20.2,0.6049,Edmundston NB,468.2,697.73,8.3089,913.9,810.8,"2,657.0",YVR,774.9,917.6
B2S,Lantz,Nova Scotia,45.0209,-63.5344,Halifax Stanfield Intl,YHZ,15.7,"4,646.5","1,125.9",A,Halifax NS,41.5,48.84,0.7239,Edmundston NB,451.3,659.65,7.6654,913.9,810.8,"2,657.0",YVR,774.9,917.6
B2T,Enfield,Nova Scotia,44.8749,-63.4689,Halifax Stanfield Intl,YHZ,3.2,"4,656.8","1,127.1",A,Halifax NS,26.5,37.22,0.7,Edmundston NB,465.3,676.31,8.0132,913.9,810.8,"2,657.0",YVR,774.9,917.6
B2V,Dartmouth Morris Lake,Nova Scotia,44.6529,-63.4777,Halifax Stanfield Intl,YHZ,25.5,"4,664.6","1,121.3",A,Halifax NS,7.7,13.42,0.3439,Edmundston NB,480.4,702.76,8.1765,913.9,810.8,"2,657.0",YVR,774.9,917.6
